participant,stim,condition,category_A_label,category_B_label,category,angle,radius,angle_psy,radius_psy,key_choice,rt,trial_type,block_n,trial_n,category_choice
11,5,standard/switch,f,j,A,10,140,-16.71390068,50.111230393533226,f,0.9819375000079162,switch,1,29,A
11,7,standard/switch,f,j,Test,17,57,-6.953638003,-14.02238557,j,1.876054899999872,standard,1,30,B
11,19,standard/switch,f,j,Test,33,113,26.34861461926153,27.630709460791525,j,1.0302165999892168,standard,1,31,B
11,24,standard/switch,f,j,B,40,113,37.71162000489743,24.31290640287821,j,0.49153759999899194,switch,1,32,B
11,25,standard/switch,f,j,Test,40,140,38.35549087886737,42.56620206713007,f,0.5724048999836668,standard,1,33,A
11,10,standard/switch,f,j,A,17,140,-1.732665378,46.70107673091564,j,0.6837054000352509,switch,1,34,B
11,15,standard/switch,f,j,A,25,140,12.129448921922751,51.77476957,f,0.6061499000061303,standard,1,35,A
11,2,standard/switch,f,j,A,10,57,-24.53495333,-12.0763604,f,0.6922683999873698,standard,1,36,A
11,25,standard/switch,f,j,Test,40,140,38.35549087886737,42.56620206713007,f,0.702177400002256,standard,1,37,A
11,4,standard/switch,f,j,A,10,113,-23.83479794,30.479004461502832,f,0.759853399998974,standard,1,38,A
11,13,standard/switch,f,j,Test,25,85,9.818056926810664,7.222251006984481,j,0.7597192999674007,standard,1,39,B
11,17,standard/switch,f,j,B,33,57,26.21866752665977,-14.79865055,f,0.7436496000154875,switch,1,40,A
11,24,standard/switch,f,j,B,40,113,37.71162000489743,24.31290640287821,f,0.6307475999929011,standard,1,41,A
11,19,standard/switch,f,j,Test,33,113,26.34861461926153,27.630709460791525,f,0.6354563999921083,standard,1,42,A
11,15,standard/switch,f,j,A,25,140,12.129448921922751,51.77476957,f,0.6643076000036672,switch,1,43,A
11,21,standard/switch,f,j,B,40,30,45.13982813678688,-35.30081098,j,0.6684338999912143,standard,1,44,B
11,23,standard/switch,f,j,B,40,85,38.21996555398914,5.057706707981728,j,0.7429163999622688,standard,1,45,B
11,19,standard/switch,f,j,Test,33,113,26.34861461926153,27.630709460791525,f,0.6313415999757126,standard,1,46,A
11,20,standard/switch,f,j,A,33,140,26.14711175410772,43.96860584938808,f,0.7158364999922924,standard,1,47,A
11,16,standard/switch,f,j,B,33,30,30.19684495481618,-38.42373928,j,0.6611650999984704,standard,1,48,B
11,9,standard/switch,f,j,A,17,113,-5.541832691,31.07890857909637,f,0.6649703999864869,standard,1,49,A
11,22,standard/switch,f,j,B,40,57,41.88083319458841,-14.98800492,j,0.6038834999781102,standard,1,50,B
11,13,standard/switch,f,j,Test,25,85,9.818056926810664,7.222251006984481,f,0.6654022000147961,standard,1,51,A
11,7,standard/switch,f,j,Test,17,57,-6.953638003,-14.02238557,f,0.9807868999778292,standard,1,52,A
11,6,standard/switch,f,j,B,17,30,-3.854444584,-37.8392214,f,0.98096140002599,switch,1,53,A
11,7,standard/switch,f,j,Test,17,57,-6.953638003,-14.02238557,f,0.8740969999926165,standard,1,54,A
11,17,standard/switch,f,j,B,33,57,26.21866752665977,-14.79865055,j,0.7342423000372946,standard,1,55,B
11,14,standard/switch,f,j,A,25,113,8.045214428,27.52140038259675,f,0.5761701000155881,standard,2,1,A
11,19,standard/switch,f,j,Test,33,113,26.34861461926153,27.630709460791525,f,0.45416590000968426,standard,2,2,A
11,24,standard/switch,f,j,B,40,113,37.71162000489743,24.31290640287821,j,0.8898166999570094,switch,2,3,B
11,3,standard/switch,f,j,A,10,85,-26.47077232,11.92758930596587,f,0.5641738999984227,standard,2,4,A
11,11,standard/switch,f,j,B,25,30,13.264524555129096,-38.2203846,f,0.9081072999979368,standard,2,5,A
11,16,standard/switch,f,j,B,33,30,30.19684495481618,-38.42373928,j,0.5976447999710217,standard,2,6,B
11,25,standard/switch,f,j,Test,40,140,38.35549087886737,42.56620206713007,f,0.851023500028532,standard,2,7,A
11,17,standard/switch,f,j,B,33,57,26.21866752665977,-14.79865055,j,1.3111751999822443,standard,2,8,B
11,25,standard/switch,f,j,Test,40,140,38.35549087886737,42.56620206713007,f,0.7686639999737963,standard,2,9,A
11,10,standard/switch,f,j,A,17,140,-1.732665378,46.70107673091564,f,0.8946371000492945,standard,2,10,A
11,21,standard/switch,f,j,B,40,30,45.13982813678688,-35.30081098,f,0.8410662999958731,switch,2,11,A
11,25,standard/switch,f,j,Test,40,140,38.35549087886737,42.56620206713007,f,0.8207760999794118,standard,2,12,A
11,7,standard/switch,f,j,Test,17,57,-6.953638003,-14.02238557,f,0.6495257000206038,standard,2,13,A
11,20,standard/switch,f,j,A,33,140,26.14711175410772,43.96860584938808,f,0.5661859999527223,switch,2,14,A
11,1,standard/switch,f,j,Test,10,30,-20.84275308,-36.88849953,j,0.7088808999978937,standard,2,15,B
11,6,standard/switch,f,j,B,17,30,-3.854444584,-37.8392214,f,1.334564400021918,switch,2,16,A
