participant,stim,condition,category_A_label,category_B_label,category,angle,radius,angle_psy,radius_psy,key_choice,correct,rt,block_n,trial_n,category_choice
11,2,standard/switch,f,j,A,10,57,-24.53495333,-12.0763604,f,1,0.5983125999919139,2,35,A
11,22,standard/switch,f,j,B,40,57,41.88083319458841,-14.98800492,j,1,0.7473653000197373,2,36,B
11,24,standard/switch,f,j,B,40,113,37.71162000489743,24.31290640287821,f,0,1.0983540000161156,2,37,A
11,5,standard/switch,f,j,A,10,140,-16.71390068,50.111230393533226,f,1,0.58630250004353,2,38,A
11,4,standard/switch,f,j,A,10,113,-23.83479794,30.479004461502832,f,1,0.5199063000036404,2,39,A
11,17,standard/switch,f,j,B,33,57,26.21866752665977,-14.79865055,j,1,0.5929093000013381,2,40,B
11,15,standard/switch,f,j,A,25,140,12.129448921922751,51.77476957,f,1,0.7020341999595985,3,41,A
11,8,standard/switch,f,j,A,17,85,-8.995342757,8.387433417892344,f,1,0.6552022999967448,3,42,A
11,21,standard/switch,f,j,B,40,30,45.13982813678688,-35.30081098,j,1,0.5533629999845289,3,43,B
11,23,standard/switch,f,j,B,40,85,38.21996555398914,5.057706707981728,j,1,4.472806900041178,3,44,B
11,11,standard/switch,f,j,B,25,30,13.264524555129096,-38.2203846,f,0,0.5846136000473052,3,45,A
11,2,standard/switch,f,j,A,10,57,-24.53495333,-12.0763604,f,1,0.7799512999481522,3,46,A
11,6,standard/switch,f,j,B,17,30,-3.854444584,-37.8392214,j,1,0.5711620000074618,3,47,B
11,3,standard/switch,f,j,A,10,85,-26.47077232,11.92758930596587,f,1,0.4978951000375673,3,48,A
11,20,standard/switch,f,j,A,33,140,26.14711175410772,43.96860584938808,f,1,1.7297607999644242,3,49,A
11,5,standard/switch,f,j,A,10,140,-16.71390068,50.111230393533226,f,1,0.7856081000063568,3,50,A
11,24,standard/switch,f,j,B,40,113,37.71162000489743,24.31290640287821,j,1,1.2304459000006318,3,51,B
11,12,standard/switch,f,j,B,25,57,9.177647168036223,-16.07892918,j,1,0.6030431999824941,3,52,B
11,14,standard/switch,f,j,A,25,113,8.045214428,27.52140038259675,f,1,0.8062177000101656,3,53,A
11,17,standard/switch,f,j,B,33,57,26.21866752665977,-14.79865055,j,1,0.6359025000128895,3,54,B
11,18,standard/switch,f,j,B,33,85,26.821232143487904,6.976824754974014,j,1,1.9599629000294951,3,55,B
11,16,standard/switch,f,j,B,33,30,30.19684495481618,-38.42373928,j,1,0.7572698000003584,3,56,B
11,9,standard/switch,f,j,A,17,113,-5.541832691,31.07890857909637,f,1,0.5643522000173107,3,57,A
